"","SURVEY","YEAR","samp_size","medianK","P25","P75","stock"
"1","NMFS fall BTS",1992,165,1.01186441,0.9501508957,1.0627062729,"GBcod"
"2","NMFS fall BTS",1993,105,1.0066180344,0.941137763,1.052093431,"GBcod"
"3","NMFS fall BTS",1994,125,1.0067350857,0.9388325454,1.0789978086,"GBcod"
"4","NMFS fall BTS",1995,137,0.9621205557,0.8983587738,1.0320864029,"GBcod"
"5","NMFS fall BTS",1996,193,1.0035749925,0.9527063052,1.0693233872,"GBcod"
"6","NMFS fall BTS",1997,278,1.0161473946,0.955747104125,1.0795040788,"GBcod"
"7","NMFS fall BTS",1998,288,1.0050057821,0.94711638795,1.0790423207,"GBcod"
"8","NMFS fall BTS",1999,82,1.03964250625,0.970076769675,1.0892628044,"GBcod"
"9","NMFS fall BTS",2000,74,0.9902392309,0.923105069125,1.038054731925,"GBcod"
"10","NMFS fall BTS",2001,86,0.98437599375,0.937208551625,1.0432562952,"GBcod"
"11","NMFS fall BTS",2002,279,1.0095916153,0.94692153825,1.07206358895,"GBcod"
"12","NMFS fall BTS",2003,92,1.0338502036,0.943503150475,1.1009605417,"GBcod"
"13","NMFS fall BTS",2004,180,0.9403340912,0.8879969014,0.997344315825,"GBcod"
"14","NMFS fall BTS",2005,109,0.9703547518,0.906378871,1.047031584,"GBcod"
"15","NMFS fall BTS",2006,117,0.9692261619,0.9353328549,1.050714144,"GBcod"
"16","NMFS fall BTS",2007,70,1.0027574197,0.951890454225,1.086263704475,"GBcod"
"17","NMFS fall BTS",2008,146,1.0418475235,0.96821169645,1.117431900025,"GBcod"
"18","NMFS fall BTS",2009,247,0.9919027343,0.92754589515,1.0529512605,"GBcod"
"19","NMFS fall BTS",2010,178,0.9655618875,0.917852515075,1.03372188535,"GBcod"
"20","NMFS fall BTS",2011,357,1.0093337306,0.9471815312,1.0756557555,"GBcod"
"21","NMFS fall BTS",2012,140,0.97800455655,0.92049907945,1.0634918547,"GBcod"
"22","NMFS fall BTS",2013,168,1.00085562445,0.9417123833,1.0565933468,"GBcod"
"23","NMFS fall BTS",2014,117,1.0021423445,0.9455864994,1.0526087291,"GBcod"
"24","NMFS fall BTS",2015,369,1.0495434784,0.9950415087,1.1077114118,"GBcod"
"25","NMFS fall BTS",2016,383,0.9784079442,0.91149076755,1.0341038826,"GBcod"
"26","NMFS fall BTS",2017,71,1.0030791032,0.8940349433,1.07963769635,"GBcod"
"27","NMFS fall BTS",2018,135,1.0074945272,0.94909303,1.0672282948,"GBcod"
"28","NMFS spring BTS",1992,213,1.1096657353,1.0163628627,1.1976978028,"GBcod"
"29","NMFS spring BTS",1993,142,1.0702060963,0.998506341775,1.1282886827,"GBcod"
"30","NMFS spring BTS",1994,83,1.013908969,0.95642167875,1.05863511205,"GBcod"
"31","NMFS spring BTS",1995,171,1.0360173864,0.9738892042,1.09376204495,"GBcod"
"32","NMFS spring BTS",1996,161,1.0624380688,0.9804253056,1.1140001023,"GBcod"
"33","NMFS spring BTS",1997,187,1.0112049694,0.95638751755,1.06969015275,"GBcod"
"34","NMFS spring BTS",1998,222,1.0110715026,0.953435986425,1.08665940555,"GBcod"
"35","NMFS spring BTS",1999,170,1.0274911648,0.980090398375,1.0819861169,"GBcod"
"36","NMFS spring BTS",2000,267,1.0470388479,0.99054253055,1.10629588765,"GBcod"
"37","NMFS spring BTS",2001,135,1.0218469358,0.95715129105,1.0762797725,"GBcod"
"38","NMFS spring BTS",2002,127,0.9931448796,0.92498164985,1.05989322675,"GBcod"
"39","NMFS spring BTS",2003,149,1.0008952085,0.9513029412,1.0536435087,"GBcod"
"40","NMFS spring BTS",2004,187,0.9474262378,0.88446978765,1.0006349228,"GBcod"
"41","NMFS spring BTS",2005,142,0.9625122741,0.903618642725,1.0152828396,"GBcod"
"42","NMFS spring BTS",2006,210,0.95621305945,0.9013984097,1.010407571475,"GBcod"
"43","NMFS spring BTS",2007,262,0.95905436765,0.90660334365,1.021741646025,"GBcod"
"44","NMFS spring BTS",2008,224,0.95349603945,0.897016734725,1.024892923675,"GBcod"
"45","NMFS spring BTS",2009,316,0.9479623319,0.8818459987,1.013898680075,"GBcod"
"46","NMFS spring BTS",2010,326,0.93784685105,0.875316405925,1.012714911725,"GBcod"
"47","NMFS spring BTS",2011,230,0.9306378794,0.882108954475,0.9882550464,"GBcod"
"48","NMFS spring BTS",2012,272,0.9823806857,0.919966966775,1.045435420275,"GBcod"
"49","NMFS spring BTS",2013,354,0.98886201935,0.936544163325,1.041920337275,"GBcod"
"50","NMFS spring BTS",2014,224,1.0399917784,0.9695859282,1.1062252957,"GBcod"
"51","NMFS spring BTS",2015,166,1.0235424859,0.95826846715,1.076504154775,"GBcod"
"52","NMFS spring BTS",2016,470,1.0526950431,0.976026629325,1.143561995725,"GBcod"
"53","NMFS spring BTS",2017,563,1.0040873971,0.94759428755,1.07161057185,"GBcod"
"54","NMFS spring BTS",2018,159,1.0003440548,0.9510938278,1.05401301995,"GBcod"
